PERIMETER,AREA,LENGTH,HEIGHT,OUTPUT
858,14512,188,136,PAPER
867,14999,194,120,PAPER
845,15105,194,130,PAPER
929,16088,202,134,PAPER
979,18234,214,136,PAPER
1061,20255,228,139,PAPER
1088,21250,232,139,PAPER
1067,21480,231,139,PAPER
1075,21447,230,142,PAPER
1084,21580,229,131,PAPER
1112,21685,231,148,PAPER
1133,22231,229,148,PAPER
1055,23325,230,147,PAPER
1055,23708,229,149,PAPER
1072,24317,237,155,PAPER
1148,25372,250,139,PAPER
1184,26498,259,139,PAPER
1186,27215,264,156,PAPER
1207,28016,266,158,PAPER
1229,29403,268,158,PAPER
1099,30434,268,141,PAPER
1229,30670,267,159,PAPER
1213,30655,266,159,PAPER
1219,30382,265,159,PAPER
1207,30236,264,156,PAPER
1091,30061,264,141,PAPER
1198,29972,263,158,PAPER
1188,29637,262,160,PAPER
1192,28756,260,160,PAPER
1158,26707,255,136,PAPER
1149,24006,246,141,PAPER
1064,20221,228,138,PAPER
1019,18826,222,133,PAPER
980,18216,218,137,PAPER
961,17440,209,127,PAPER
984,17617,210,134,PAPER
949,17173,207,135,PAPER
985,16949,207,139,PAPER
971,16567,204,143,PAPER
979,16712,205,144,PAPER
931,16730,204,140,PAPER
953,16773,206,139,PAPER
944,16348,203,139,PAPER
902,15760,198,136,PAPER
870,14954,192,134,PAPER
876,14290,189,138,PAPER
824,13626,184,120,PAPER
822,13316,181,134,PAPER
812,12949,179,134,PAPER
810,13278,183,123,PAPER
835,13601,184,126,PAPER
847,14162,188,135,PAPER
860,14421,190,130,PAPER
870,15516,196,131,PAPER
917,16872,206,135,PAPER
966,17715,212,138,PAPER
962,17716,212,135,PAPER
955,17840,213,132,PAPER
966,17603,211,130,PAPER
961,17313,209,128,PAPER
972,17163,208,131,PAPER
969,17351,210,132,PAPER
962,17131,209,133,PAPER
963,16527,205,133,PAPER
954,16415,204,137,PAPER
919,16125,200,133,PAPER
897,15843,199,129,PAPER
905,15413,197,128,PAPER
914,15033,194,130,PAPER
872,14487,189,127,PAPER
859,14219,188,121,PAPER
841,13384,181,122,PAPER
835,12992,178,122,PAPER
913,13646,187,119,PAPER
895,13295,182,120,PAPER
918,13508,185,121,PAPER
875,13840,188,124,PAPER
854,13549,185,123,PAPER
817,13397,184,120,PAPER
